m,k,n,dataflow,loops
32,32,32,ws,nkm
32,32,32,ws,nmk
32,32,32,ws,kmn
32,32,32,ws,knm
32,32,32,ws,mnk
32,32,32,ws,mkn
32,32,32,os,nkm
32,32,32,os,nmk
32,32,32,os,kmn
32,32,32,os,knm
32,32,32,os,mnk
32,32,32,os,mkn
32,32,64,ws,nkm
32,32,64,ws,nmk
32,32,64,ws,kmn
32,32,64,ws,knm
32,32,64,ws,mnk
32,32,64,ws,mkn
32,32,64,os,nkm
32,32,64,os,nmk
32,32,64,os,kmn
32,32,64,os,knm
32,32,64,os,mnk
32,32,64,os,mkn
32,32,128,ws,nkm
32,32,128,ws,nmk
32,32,128,ws,kmn
32,32,128,ws,knm
32,32,128,ws,mnk
32,32,128,ws,mkn
32,32,128,os,nkm
32,32,128,os,nmk
32,32,128,os,kmn
32,32,128,os,knm
32,32,128,os,mnk
32,32,128,os,mkn
32,32,256,ws,nkm
32,32,256,ws,nmk
32,32,256,ws,kmn
32,32,256,ws,knm
32,32,256,ws,mnk
32,32,256,ws,mkn
32,32,256,os,nkm
32,32,256,os,nmk
32,32,256,os,kmn
32,32,256,os,knm
32,32,256,os,mnk
32,32,256,os,mkn
32,32,512,ws,nkm
32,32,512,ws,nmk
32,32,512,ws,kmn
32,32,512,ws,knm
32,32,512,ws,mnk
32,32,512,ws,mkn
32,32,512,os,nkm
32,32,512,os,nmk
32,32,512,os,kmn
32,32,512,os,knm
32,32,512,os,mnk
32,32,512,os,mkn
32,64,32,ws,nkm
32,64,32,ws,nmk
32,64,32,ws,kmn
32,64,32,ws,knm
32,64,32,ws,mnk
32,64,32,ws,mkn
32,64,32,os,nkm
32,64,32,os,nmk
32,64,32,os,kmn
32,64,32,os,knm
32,64,32,os,mnk
32,64,32,os,mkn
32,64,64,ws,nkm
32,64,64,ws,nmk
32,64,64,ws,kmn
32,64,64,ws,knm
32,64,64,ws,mnk
32,64,64,ws,mkn
32,64,64,os,nkm
32,64,64,os,nmk
32,64,64,os,kmn
32,64,64,os,knm
32,64,64,os,mnk
32,64,64,os,mkn
32,64,128,ws,nkm
32,64,128,ws,nmk
32,64,128,ws,kmn
32,64,128,ws,knm
32,64,128,ws,mnk
32,64,128,ws,mkn
32,64,128,os,nkm
32,64,128,os,nmk
32,64,128,os,kmn
32,64,128,os,knm
32,64,128,os,mnk
32,64,128,os,mkn
32,64,256,ws,nkm
32,64,256,ws,nmk
32,64,256,ws,kmn
32,64,256,ws,knm
32,64,256,ws,mnk
32,64,256,ws,mkn
32,64,256,os,nkm
32,64,256,os,nmk
32,64,256,os,kmn
32,64,256,os,knm
32,64,256,os,mnk
32,64,256,os,mkn
32,64,512,ws,nkm
32,64,512,ws,nmk
32,64,512,ws,kmn
