bandwidth,data_precision,compute_pipeline,Array_i,Array_j,sram_size,M,K,N,m,k,n,dataflow,loops,m_loop_times,k_loop_times,n_loop_times,cmd,ret_code,cycle,computation_cycle,communication_cycle,communication_A_cycle,communication_B_cycle,communication_C_cycle,communication_Y_cycle,PE_utility,throughput,communication_off_chip,communication_on_chip,communication_interval,communication_internal,energy_cost_communication,energy_cost_computation
16,8,1,32,32,8192,256,256,256,32,32,32,ws,nkm,8,8,8,python ./os/nkm/start_repeat.py,0,102946,16448,102368,32768,4096,32768,32736,0.15915139976298254,162.97103335729412,1638400,2097152,49774592,50331648,390594560,16777216
16,8,1,32,32,8192,256,256,256,32,32,32,ws,nmk,8,8,8,python ./os/nmk/start_repeat.py,0,74335,16448,73694,32768,32768,4096,4062,0.22040761417905427,225.69739691935158,1179648,2097152,49774592,50331648,298844160,16777216
16,8,1,32,32,8192,256,256,256,32,32,32,ws,kmn,8,8,8,python ./os/kmn/start_repeat.py,0,102946,16448,102368,4096,32768,32768,32736,0.15915139976298254,162.97103335729412,1638400,2097152,49774592,50331648,390594560,16777216
16,8,1,32,32,8192,256,256,256,32,32,32,ws,knm,8,8,8,python ./os/knm/start_repeat.py,0,102946,16448,102368,32768,4096,32768,32736,0.15915139976298254,162.97103335729412,1638400,2097152,49774592,50331648,390594560,16777216
16,8,1,32,32,8192,256,256,256,32,32,32,ws,mnk,8,8,8,python ./os/mnk/start_repeat.py,0,74335,16448,73694,32768,32768,4096,4062,0.22040761417905427,225.69739691935158,1179648,2097152,49774592,50331648,298844160,16777216
16,8,1,32,32,8192,256,256,256,32,32,32,ws,mkn,8,8,8,python ./os/mkn/start_repeat.py,0,102946,16448,102368,4096,32768,32768,32736,0.15915139976298254,162.97103335729412,1638400,2097152,49774592,50331648,390594560,16777216
16,8,1,32,32,8192,256,256,256,32,32,32,os,nkm,8,8,8,python ./os/nkm/start_repeat.py,0,102946,16448,102368,32768,4096,32768,32736,0.15915139976298254,162.97103335729412,1638400,2097152,49774592,50331648,390594560,16777216
16,8,1,32,32,8192,256,256,256,32,32,32,os,nmk,8,8,8,python ./os/nmk/start_repeat.py,0,74335,16448,73694,32768,32768,4096,4062,0.22040761417905427,225.69739691935158,1179648,2097152,49774592,50331648,298844160,16777216
16,8,1,32,32,8192,256,256,256,32,32,32,os,kmn,8,8,8,python ./os/kmn/start_repeat.py,0,102946,16448,102368,4096,32768,32768,32736,0.15915139976298254,162.97103335729412,1638400,2097152,49774592,50331648,390594560,16777216
16,8,1,32,32,8192,256,256,256,32,32,32,os,knm,8,8,8,python ./os/knm/start_repeat.py,0,102946,16448,102368,32768,4096,32768,32736,0.15915139976298254,162.97103335729412,1638400,2097152,49774592,50331648,390594560,16777216
16,8,1,32,32,8192,256,256,256,32,32,32,os,mnk,8,8,8,python ./os/mnk/start_repeat.py,0,74335,16448,73694,32768,32768,4096,4062,0.22040761417905427,225.69739691935158,1179648,2097152,49774592,50331648,298844160,16777216
16,8,1,32,32,8192,256,256,256,32,32,32,os,mkn,8,8,8,python ./os/mkn/start_repeat.py,0,102946,16448,102368,4096,32768,32768,32736,0.15915139976298254,162.97103335729412,1638400,2097152,49774592,50331648,390594560,16777216
16,8,1,32,32,8192,256,256,256,32,32,64,ws,nkm,8,8,4,python ./os/nkm/start_repeat.py,0,86305,16448,85952,16384,4096,32768,32704,0.1898383639418342,194.39448467643822,1376256,2097152,49774592,50331648,338165760,16777216
16,8,1,32,32,8192,256,256,256,32,32,64,ws,nmk,8,8,4,python ./os/nmk/start_repeat.py,0,57409,16448,57280,16384,32768,4096,4032,0.28539079238446935,292.2401714016966,917504,2097152,49774592,50331648,246415360,16777216
16,8,1,32,32,8192,256,256,256,32,32,64,ws,kmn,8,8,4,python ./os/kmn/start_repeat.py,0,102657,16448,102336,4096,32768,32768,32704,0.15959944280467966,163.42982943199198,1638400,2097152,49774592,50331648,390594560,16777216
16,8,1,32,32,8192,256,256,256,32,32,64,ws,knm,8,8,4,python ./os/knm/start_repeat.py,0,86305,16448,85952,16384,4096,32768,32704,0.1898383639418342,194.39448467643822,1376256,2097152,49774592,50331648,338165760,16777216
16,8,1,32,32,8192,256,256,256,32,32,64,ws,mnk,8,8,4,python ./os/mnk/start_repeat.py,0,57409,16448,57280,16384,32768,4096,4032,0.28539079238446935,292.2401714016966,917504,2097152,49774592,50331648,246415360,16777216
16,8,1,32,32,8192,256,256,256,32,32,64,ws,mkn,8,8,4,python ./os/mkn/start_repeat.py,0,102657,16448,102336,4096,32768,32768,32704,0.15959944280467966,163.42982943199198,1638400,2097152,49774592,50331648,390594560,16777216
16,8,1,32,32,8192,256,256,256,32,32,64,os,nkm,8,8,4,python ./os/nkm/start_repeat.py,0,86305,16448,85952,16384,4096,32768,32704,0.1898383639418342,194.39448467643822,1376256,2097152,49774592,50331648,338165760,16777216
16,8,1,32,32,8192,256,256,256,32,32,64,os,nmk,8,8,4,python ./os/nmk/start_repeat.py,0,57409,16448,57280,16384,32768,4096,4032,0.28539079238446935,292.2401714016966,917504,2097152,49774592,50331648,246415360,16777216
16,8,1,32,32,8192,256,256,256,32,32,64,os,kmn,8,8,4,python ./os/kmn/start_repeat.py,0,102657,16448,102336,4096,32768,32768,32704,0.15959944280467966,163.42982943199198,1638400,2097152,49774592,50331648,390594560,16777216
16,8,1,32,32,8192,256,256,256,32,32,64,os,knm,8,8,4,python ./os/knm/start_repeat.py,0,86305,16448,85952,16384,4096,32768,32704,0.1898383639418342,194.39448467643822,1376256,2097152,49774592,50331648,338165760,16777216
16,8,1,32,32,8192,256,256,256,32,32,64,os,mnk,8,8,4,python ./os/mnk/start_repeat.py,0,57409,16448,57280,16384,32768,4096,4032,0.28539079238446935,292.2401714016966,917504,2097152,49774592,50331648,246415360,16777216
16,8,1,32,32,8192,256,256,256,32,32,64,os,mkn,8,8,4,python ./os/mkn/start_repeat.py,0,102657,16448,102336,4096,32768,32768,32704,0.15959944280467966,163.42982943199198,1638400,2097152,49774592,50331648,390594560,16777216
16,8,1,32,32,8192,256,256,256,32,32,128,ws,nkm,8,8,2,python ./os/nkm/start_repeat.py,0,78002,16448,77761,8192,4096,32768,32705,0.21004589625907027,215.08699776928796,1245184,2097152,49774592,50331648,311951360,16777216
16,8,1,32,32,8192,256,256,256,32,32,128,ws,nmk,8,8,2,python ./os/nmk/start_repeat.py,0,49218,16448,49089,8192,32768,4096,4033,0.3328863423950587,340.8756146125401,786432,2097152,49774592,50331648,220200960,16777216
16,8,1,32,32,8192,256,256,256,32,32,128,ws,kmn,8,8,2,python ./os/kmn/start_repeat.py,0,74001,16448,73696,4096,4096,32768,32736,0.2214024134808989,226.71607140444047,1179648,2097152,49774592,50331648,298844160,16777216
16,8,1,32,32,8192,256,256,256,32,32,128,ws,knm,8,8,2,python ./os/knm/start_repeat.py,0,78002,16448,77761,8192,4096,32768,32705,0.21004589625907027,215.08699776928796,1245184,2097152,49774592,50331648,311951360,16777216
